pickup_location,delivery_location,pickup_datetime,weight,service_type,synthetic_delivery_time_min,route_distance_km_synthetic,model_prediction_min
Bari,Lecce,2026-01-09 14:27:00,1.18,Express,184.6,139.0,45.29
Firenze,Pescara,2026-06-20 12:15:00,3.17,Express,323.69,280.9,46.69
Roma,Genova,2026-06-07 19:52:00,2.64,Premium,484.37,402.1,48.51
Perugia,Milano,2026-01-28 13:50:00,2.4,Express,431.52,364.9,45.34
Bari,Firenze,2026-05-31 08:47:00,3.45,Express,626.26,547.1,44.87
Bari,Salerno,2026-03-20 11:00:00,5.06,Express,236.24,183.1,43.73
Palermo,Cagliari,2026-05-21 18:50:00,4.9,Express,469.03,387.8,42.26
Pescara,Catania,2026-02-07 14:12:00,4.42,Express,630.78,555.5,45.33
Cagliari,Catania,2026-07-02 14:50:00,2.53,Express,636.76,554.0,47.22
Cagliari,Trapani,2026-08-06 16:32:00,2.02,Express,379.5,325.7,48.87
Bologna,Trapani,2026-01-01 09:43:00,1.44,Express,845.03,726.4,45.12
Perugia,Palermo,2026-05-26 08:17:00,1.98,Express,650.54,560.9,42.36
Ancona,Cagliari,2026-06-26 13:09:00,3.04,Express,702.09,611.3,47.26
Perugia,Salerno,2026-01-01 19:52:00,1.73,Express,395.89,334.4,42.77
Napoli,Milano,2026-07-17 08:46:00,3.21,Express,753.89,657.4,52.44
Napoli,Sassari,2026-05-29 17:03:00,1.53,Express,566.24,480.8,51.38
Reggio Calabria,Lecce,2026-03-25 20:42:00,0.94,Express,375.5,330.4,45.44
Palermo,Verona,2026-05-12 08:21:00,5.32,Express,974.24,837.2,40.68
Roma,Sassari,2026-07-06 08:51:00,2.15,Express,430.26,353.8,44.99
Salerno,Catania,2026-06-25 19:09:00,1.67,Premium,422.71,353.6,43.88
Trapani,Roma,2026-08-01 08:31:00,1.4,Express,508.63,431.4,44.03
Salerno,Firenze,2026-01-10 17:24:00,4.03,Express,522.71,449.4,44.64
Palermo,Genova,2026-08-03 18:09:00,7.85,Express,902.7,791.1,45.45
Napoli,Firenze,2026-01-10 11:23:00,2.26,Premium,471.54,408.7,51.41
Catania,Reggio Calabria,2026-06-27 11:04:00,2.58,Express,108.47,82.9,53.03
Perugia,Firenze,2026-04-06 14:18:00,6.35,Premium,168.53,117.7,44.1
Bologna,Pescara,2026-01-18 14:05:00,0.84,Express,375.04,323.4,43.67
Trapani,Perugia,2026-07-07 19:02:00,11.89,Premium,690.94,566.1,51.28
Sassari,Salerno,2026-05-31 15:17:00,16.6,Express,609.63,523.4,41.39
Bologna,Verona,2026-07-01 20:33:00,0.45,Express,134.2,109.2,43.45
Salerno,Ancona,2026-04-13 10:21:00,2.8,Express,417.49,342.8,46.29
Bologna,Verona,2026-03-17 10:56:00,1.81,Express,120.7,109.2,43.4
Roma,Bologna,2026-06-20 10:22:00,2.49,Premium,355.83,302.9,46.32
Bari,Palermo,2026-02-28 16:06:00,2.24,Premium,511.52,449.0,43.91
Napoli,Genova,2026-08-10 07:28:00,5.3,Express,676.77,589.3,54.31
Reggio Calabria,Pescara,2026-07-06 19:02:00,2.77,Express,582.1,498.9,43.88
Roma,Catania,2026-09-30 17:48:00,1.59,Express,631.97,536.0,43.3
Milano,Torino,2026-01-08 20:50:00,2.66,Express,161.59,125.1,49.68
Trapani,Milano,2026-06-09 20:25:00,4.3,Express,978.86,872.5,47.76
Salerno,Trapani,2026-06-02 07:59:00,1.31,Express,403.71,352.5,45.07
Catania,Genova,2026-08-23 17:28:00,0.95,Express,1053.86,924.7,50.39
Reggio Calabria,Catania,2026-04-26 14:03:00,12.1,Premium,137.65,82.9,43.8
Roma,Lecce,2026-09-13 17:17:00,1.91,Premium,620.42,505.1,45.39
Genova,Palermo,2026-03-07 19:13:00,2.72,Premium,922.08,791.1,48.11
Roma,Reggio Calabria,2026-08-22 15:09:00,2.27,Express,561.28,499.5,50.78
Torino,Sassari,2026-05-23 07:02:00,4.4,Premium,567.61,487.8,47.53
Sassari,Catania,2026-09-15 19:06:00,10.38,Express,786.71,667.2,41.4
Salerno,Genova,2026-03-01 13:07:00,4.5,Express,717.76,632.9,48.1
Pescara,Trapani,2026-03-13 13:25:00,1.04,Express,592.95,513.6,47.1
Firenze,Milano,2026-06-04 15:10:00,1.14,Premium,278.42,248.8,49.92
Salerno,Catania,2026-05-31 19:45:00,2.27,Express,426.79,353.6,43.4
Lecce,Verona,2026-02-10 14:22:00,2.49,Premium,925.61,813.3,43.88
Palermo,Milano,2026-06-27 09:54:00,0.9,Express,1009.75,886.0,43.79
Genova,Verona,2026-04-21 17:15:00,5.32,Premium,278.23,198.5,48.08
Genova,Trapani,2026-02-11 15:51:00,1.4,Express,863.07,771.8,49.5
Cagliari,Trapani,2026-05-20 07:55:00,8.53,Premium,400.38,325.7,49.06
Verona,Perugia,2026-07-10 14:27:00,10.73,Express,353.4,282.0,52.69
Bologna,Salerno,2026-01-09 17:59:00,2.52,Express,598.1,508.2,43.69
Bari,Verona,2026-09-09 19:22:00,4.08,Express,768.97,675.9,43.45
Trapani,Firenze,2026-06-16 10:57:00,1.27,Express,751.94,648.5,46.36
Perugia,Ancona,2026-03-13 14:18:00,4.64,Express,140.31,107.5,45.32
Milano,Genova,2026-07-24 18:32:00,2.12,Express,157.61,118.5,49.0
Roma,Pescara,2026-08-19 15:10:00,1.4,Express,186.16,154.0,43.47
Lecce,Palermo,2026-09-19 12:52:00,2.45,Premium,556.19,482.7,43.81
Bologna,Bari,2026-08-04 09:34:00,2.17,Express,670.72,586.2,46.69
Roma,Perugia,2026-02-25 07:36:00,2.39,Premium,178.07,134.8,49.95
Cagliari,Lecce,2026-02-14 16:39:00,5.83,Express,885.86,783.1,48.72
Perugia,Palermo,2026-02-26 20:29:00,1.73,Express,648.48,560.9,42.37
Trapani,Perugia,2026-08-28 15:24:00,10.11,Premium,672.37,566.1,51.36
Trapani,Pescara,2026-03-25 17:55:00,1.19,Express,616.73,513.6,45.2
Lecce,Milano,2026-04-01 16:28:00,9.29,Express,1055.84,925.2,46.07
Salerno,Milano,2026-09-01 11:52:00,1.47,Express,785.92,698.2,46.28
Pescara,Reggio Calabria,2026-02-25 14:19:00,3.0,Express,560.09,498.9,52.89
Napoli,Roma,2026-04-22 10:46:00,2.13,Express,250.3,188.3,48.63
Bologna,Sassari,2026-03-22 10:07:00,2.36,Express,551.95,475.9,45.16
Lecce,Genova,2026-03-24 15:14:00,5.26,Premium,1004.28,882.3,48.64
Reggio Calabria,Milano,2026-06-12 16:02:00,8.57,Express,1130.68,976.4,46.33
Verona,Genova,2026-07-22 20:49:00,6.9,Express,260.51,198.5,51.43
Ancona,Palermo,2026-03-14 10:18:00,2.26,Express,682.57,611.7,45.66
Roma,Bologna,2026-01-11 11:03:00,3.41,Express,347.19,302.9,45.82
Sassari,Milano,2026-06-24 09:19:00,1.74,Express,616.43,528.4,44.6
Verona,Cagliari,2026-05-30 20:16:00,1.5,Premium,798.72,708.5,48.79
Milano,Palermo,2026-06-29 17:56:00,1.34,Express,1013.54,886.0,44.08
Bologna,Torino,2026-05-03 11:37:00,2.21,Express,351.42,295.2,48.96
Firenze,Verona,2026-08-01 20:33:00,3.57,Premium,219.21,186.8,46.9
Torino,Milano,2026-06-20 16:51:00,0.79,Express,156.16,125.1,48.36
Torino,Bari,2026-07-26 13:40:00,2.9,Express,989.46,864.4,48.65
Pescara,Catania,2026-07-19 12:20:00,8.67,Express,647.22,555.5,45.15
Bologna,Lecce,2026-05-16 14:58:00,6.58,Express,827.65,725.0,44.92
Bologna,Salerno,2026-03-30 08:11:00,1.99,Express,588.92,508.2,43.71
Napoli,Verona,2026-06-08 09:24:00,1.13,Premium,684.41,575.5,50.06
Perugia,Lecce,2026-06-23 20:06:00,4.14,Express,642.91,569.2,44.06
Ancona,Cagliari,2026-06-06 09:53:00,0.59,Express,707.57,611.3,47.36
Reggio Calabria,Ancona,2026-05-24 09:17:00,6.53,Express,744.23,638.3,46.49
Palermo,Verona,2026-04-04 19:02:00,2.58,Premium,977.38,837.2,41.26
Ancona,Genova,2026-02-06 20:13:00,10.81,Express,445.67,377.4,50.26
Bari,Bologna,2026-04-27 18:27:00,0.9,Premium,682.74,586.2,46.71
Napoli,Cagliari,2026-08-29 08:26:00,5.7,Express,548.18,474.3,50.97
Roma,Firenze,2026-07-15 18:44:00,2.8,Premium,300.87,231.6,45.03
Sassari,Reggio Calabria,2026-07-26 10:44:00,2.38,Express,762.15,674.8,49.23
Milano,Torino,2026-07-21 07:09:00,1.15,Express,148.15,125.1,49.74
Firenze,Roma,2026-09-09 19:53:00,4.55,Express,284.45,231.6,45.47
Verona,Reggio Calabria,2026-03-03 10:44:00,4.82,Premium,1037.4,901.6,54.68
Napoli,Bari,2026-07-16 16:13:00,10.47,Express,265.44,220.3,52.52
Genova,Ancona,2026-01-19 08:01:00,6.08,Express,446.26,377.4,50.59
Milano,Bari,2026-03-08 09:39:00,1.98,Express,910.65,786.3,47.43
Ancona,Trapani,2026-01-09 19:19:00,1.49,Express,726.48,628.1,47.48
Genova,Perugia,2026-04-28 15:17:00,1.15,Premium,382.26,313.2,54.55
Palermo,Sassari,2026-02-08 20:58:00,8.41,Premium,589.09,504.1,42.8
Trapani,Ancona,2026-04-16 09:31:00,1.74,Express,728.5,628.1,47.94
Roma,Ancona,2026-02-06 19:28:00,8.46,Express,274.02,208.6,45.94
Salerno,Sassari,2026-01-10 19:14:00,4.33,Express,626.91,523.4,45.02
Palermo,Bologna,2026-05-11 19:56:00,3.78,Premium,862.69,728.1,43.87
Bologna,Cagliari,2026-04-23 07:41:00,2.42,Express,713.49,614.1,44.92
Lecce,Palermo,2026-04-24 08:27:00,4.76,Express,565.19,482.7,43.26
Verona,Pescara,2026-04-05 14:25:00,2.97,Express,473.97,419.7,46.95
Ancona,Catania,2026-04-22 08:37:00,2.32,Express,808.18,692.2,45.82
Torino,Milano,2026-01-02 07:53:00,4.88,Express,176.14,125.1,48.19
Reggio Calabria,Perugia,2026-05-11 18:21:00,2.71,Express,732.83,620.2,49.95
Firenze,Milano,2026-08-20 16:43:00,1.72,Premium,302.13,248.8,49.9
Salerno,Lecce,2026-02-08 18:48:00,4.57,Express,361.06,289.7,44.94
Sassari,Bari,2026-02-09 20:06:00,2.87,Express,804.7,699.2,44.94
Ancona,Napoli,2026-08-01 08:59:00,4.22,Express,381.86,314.1,50.46
Bologna,Sassari,2026-05-17 18:38:00,2.18,Express,558.98,475.9,45.17
Reggio Calabria,Pescara,2026-03-12 07:36:00,1.29,Express,573.2,498.9,43.94
Verona,Torino,2026-08-03 12:12:00,10.11,Express,313.89,261.5,52.0
Ancona,Bologna,2026-03-30 11:09:00,8.86,Premium,250.83,199.3,48.59
Reggio Calabria,Ancona,2026-06-15 10:19:00,5.57,Express,726.52,638.3,46.53
Bologna,Palermo,2026-06-01 17:03:00,2.29,Premium,831.4,728.1,43.76
Reggio Calabria,Cagliari,2026-02-16 08:41:00,2.43,Express,677.61,580.1,45.22
Pescara,Perugia,2026-07-26 18:19:00,7.9,Express,219.97,165.2,51.4
Bari,Trapani,2026-06-18 19:13:00,2.34,Express,601.79,506.4,45.23
Reggio Calabria,Genova,2026-02-26 16:19:00,1.93,Express,1028.44,897.2,48.56
Torino,Palermo,2026-07-26 08:08:00,11.12,Premium,1067.18,904.7,45.39
Torino,Reggio Calabria,2026-06-19 15:21:00,2.9,Express,1164.95,1017.4,52.93
Ancona,Cagliari,2026-08-22 15:48:00,10.35,Express,700.21,611.3,46.96
Catania,Torino,2026-08-12 12:13:00,1.13,Express,1161.73,1042.5,51.09
Catania,Napoli,2026-03-28 12:08:00,4.31,Express,448.83,378.1,50.17
Napoli,Sassari,2026-09-13 13:34:00,12.79,Premium,587.24,480.8,51.37
Bologna,Reggio Calabria,2026-01-10 20:56:00,3.06,Express,916.77,795.3,50.93
Torino,Bologna,2026-04-02 07:03:00,2.49,Express,352.57,295.2,48.03
Salerno,Roma,2026-06-15 14:07:00,1.32,Premium,264.09,233.2,42.88
Sassari,Cagliari,2026-05-26 11:26:00,6.4,Premium,230.2,174.6,43.49
Cagliari,Perugia,2026-03-03 14:40:00,1.75,Premium,599.83,511.8,53.93
Ancona,Verona,2026-02-24 07:03:00,2.81,Express,349.28,284.9,45.72
Trapani,Verona,2026-08-02 19:51:00,1.26,Express,968.95,835.0,44.97
Firenze,Torino,2026-08-28 13:23:00,8.92,Express,391.25,317.5,51.8
Reggio Calabria,Napoli,2026-07-05 20:34:00,6.73,Express,380.41,326.9,48.28
Trapani,Perugia,2026-05-25 09:09:00,2.93,Express,651.13,566.1,51.2
Ancona,Genova,2026-07-31 15:10:00,1.34,Express,442.63,377.4,50.65
Ancona,Trapani,2026-03-07 16:31:00,8.79,Express,716.17,628.1,47.18
Ancona,Napoli,2026-09-22 18:08:00,2.32,Express,395.27,314.1,50.53
Cagliari,Salerno,2026-02-04 07:07:00,1.38,Express,565.62,508.1,47.51
Bari,Lecce,2026-06-09 15:53:00,0.87,Express,177.44,139.0,45.3
Sassari,Roma,2026-04-04 09:04:00,1.91,Express,424.17,353.8,40.74
Pescara,Catania,2026-09-04 12:59:00,1.08,Express,632.76,555.5,45.47
Verona,Roma,2026-03-08 07:44:00,1.94,Premium,471.35,411.9,46.28
Sassari,Ancona,2026-06-25 07:48:00,5.05,Express,580.48,519.8,44.53
Verona,Bologna,2026-02-12 17:43:00,2.31,Express,147.44,109.2,49.41
Catania,Lecce,2026-02-19 17:02:00,3.85,Express,487.64,413.1,47.12
Firenze,Napoli,2026-04-24 19:32:00,1.81,Express,495.95,408.7,51.31
Sassari,Roma,2026-08-07 16:48:00,3.14,Express,405.99,353.8,40.69
Catania,Lecce,2026-03-17 15:20:00,11.51,Express,496.8,413.1,46.8
Bari,Ancona,2026-07-09 08:38:00,2.35,Premium,460.17,391.1,46.97
Reggio Calabria,Genova,2026-06-05 17:42:00,3.93,Express,1035.64,897.2,48.47
Sassari,Milano,2026-09-24 10:13:00,1.0,Express,582.27,528.4,44.63
Verona,Palermo,2026-03-24 08:29:00,8.69,Premium,999.24,837.2,46.86
Trapani,Pescara,2026-03-08 17:14:00,2.15,Express,597.5,513.6,45.16
Bologna,Catania,2026-09-04 15:13:00,6.26,Express,927.74,837.3,43.29
Salerno,Pescara,2026-04-01 09:05:00,2.75,Express,250.87,203.3,43.53
Sassari,Pescara,2026-02-28 14:41:00,4.6,Premium,582.1,507.6,42.25
Reggio Calabria,Salerno,2026-08-13 16:40:00,4.8,Express,345.09,295.6,43.89
Sassari,Palermo,2026-08-10 13:59:00,2.19,Express,575.71,504.1,41.58
Sassari,Bologna,2026-01-18 17:03:00,6.44,Premium,563.82,475.9,44.61
Milano,Catania,2026-08-22 14:03:00,1.76,Express,1130.52,1010.7,44.22
Ancona,Roma,2026-06-22 11:56:00,5.17,Premium,250.94,208.6,45.15
Napoli,Ancona,2026-03-18 10:07:00,2.28,Express,376.68,314.1,52.55
Catania,Bologna,2026-05-27 10:36:00,3.83,Express,964.05,837.3,48.07
Bologna,Torino,2026-03-07 18:19:00,2.17,Express,353.7,295.2,48.96
Bologna,Napoli,2026-02-16 12:13:00,3.11,Premium,549.99,470.2,48.6
Reggio Calabria,Pescara,2026-02-06 17:01:00,1.41,Express,573.14,498.9,43.94
Palermo,Pescara,2026-02-15 12:01:00,3.57,Express,561.21,487.9,40.99
Palermo,Reggio Calabria,2026-06-09 14:21:00,3.09,Premium,252.53,200.3,48.81
Roma,Catania,2026-08-10 15:29:00,2.06,Express,612.46,536.0,43.28
Palermo,Cagliari,2026-05-13 13:41:00,2.89,Premium,462.23,387.8,42.8
Pescara,Ancona,2026-01-05 17:24:00,3.3,Express,192.31,140.6,48.29
Bari,Torino,2026-04-28 19:56:00,1.95,Express,980.81,864.4,49.12
Torino,Catania,2026-07-23 19:03:00,2.74,Premium,1209.4,1042.5,45.89
Milano,Perugia,2026-08-17 19:53:00,1.48,Premium,440.54,364.9,50.91
Cagliari,Napoli,2026-07-20 07:25:00,15.5,Express,583.05,474.3,51.4
Sassari,Cagliari,2026-04-11 17:37:00,6.3,Premium,239.6,174.6,43.5
Roma,Milano,2026-06-27 17:10:00,3.63,Premium,587.07,476.9,46.52
Bari,Perugia,2026-01-19 12:46:00,6.81,Premium,523.44,430.6,50.09
Cagliari,Salerno,2026-04-22 11:23:00,0.75,Express,583.99,508.1,47.54
Ancona,Bologna,2026-05-27 07:44:00,0.5,Express,230.92,199.3,48.48
Firenze,Sassari,2026-01-08 18:44:00,2.27,Express,473.32,404.0,48.29
Bari,Perugia,2026-01-04 18:45:00,1.14,Express,510.51,430.6,49.87
Roma,Trapani,2026-08-07 08:03:00,2.54,Express,512.63,431.4,44.9
Palermo,Milano,2026-03-02 15:08:00,3.46,Express,999.79,886.0,43.68
Verona,Catania,2026-02-04 14:42:00,5.71,Express,1083.21,945.3,46.68
Roma,Pescara,2026-06-11 09:24:00,1.35,Express,201.57,154.0,43.47
Pescara,Trapani,2026-03-18 14:40:00,3.97,Express,601.03,513.6,46.98
Palermo,Genova,2026-09-25 18:21:00,3.03,Express,901.76,791.1,45.65
Bari,Ancona,2026-09-16 11:34:00,3.83,Express,466.3,391.1,46.45
Bari,Genova,2026-08-13 17:09:00,2.09,Premium,869.58,743.8,48.86
Pescara,Trapani,2026-03-24 20:35:00,7.9,Express,610.51,513.6,46.82
Ancona,Palermo,2026-08-27 13:22:00,2.79,Express,709.65,611.7,45.64
Ancona,Verona,2026-03-11 08:29:00,10.39,Express,359.27,284.9,45.4
Catania,Palermo,2026-03-07 11:09:00,1.73,Express,198.85,166.4,45.41
Torino,Ancona,2026-09-23 08:54:00,5.05,Express,598.63,490.7,48.25
Napoli,Torino,2026-07-04 11:56:00,2.88,Premium,812.01,711.5,55.57
Roma,Salerno,2026-01-24 16:01:00,2.38,Express,283.13,233.2,43.52
Milano,Roma,2026-08-31 09:50:00,4.67,Express,561.11,476.9,43.09
Cagliari,Verona,2026-02-13 14:12:00,2.43,Express,788.19,708.5,47.14
Lecce,Cagliari,2026-07-05 20:58:00,0.47,Premium,878.52,783.1,45.52
Bari,Trapani,2026-04-30 10:42:00,0.35,Premium,590.25,506.4,45.77
Salerno,Catania,2026-01-05 19:19:00,7.31,Premium,445.83,353.6,43.65
Cagliari,Verona,2026-08-04 11:15:00,7.1,Express,817.91,708.5,46.95
Lecce,Cagliari,2026-07-07 15:35:00,11.24,Premium,921.41,783.1,45.08
Verona,Perugia,2026-08-30 09:11:00,2.96,Express,346.72,282.0,53.02
Perugia,Salerno,2026-06-17 10:45:00,1.21,Express,381.57,334.4,42.79
Napoli,Bari,2026-07-26 19:08:00,2.24,Premium,286.07,220.3,53.32
Palermo,Bari,2026-09-05 15:15:00,3.02,Express,518.1,449.0,44.08
Salerno,Sassari,2026-09-24 14:58:00,1.48,Premium,601.01,523.4,45.6
Firenze,Bari,2026-06-03 14:09:00,9.51,Express,642.83,547.1,49.5
Pescara,Milano,2026-01-05 10:25:00,14.39,Express,618.43,522.1,47.76
Torino,Trapani,2026-04-05 20:00:00,4.19,Express,992.48,881.3,47.0
Perugia,Pescara,2026-06-19 12:30:00,2.98,Premium,209.22,165.2,43.08
Milano,Napoli,2026-01-30 07:09:00,1.21,Express,762.41,657.4,48.96
Bologna,Milano,2026-02-01 19:41:00,8.86,Premium,281.96,200.6,46.48
Catania,Pescara,2026-04-18 07:39:00,3.16,Express,636.83,555.5,45.66
Trapani,Perugia,2026-09-06 19:24:00,2.45,Premium,665.27,566.1,51.67
Palermo,Bologna,2026-03-29 10:43:00,4.2,Express,813.93,728.1,43.4
Genova,Cagliari,2026-09-13 07:58:00,1.99,Express,674.64,577.3,49.31
Milano,Reggio Calabria,2026-08-08 10:05:00,3.32,Express,1113.24,976.4,51.66
Perugia,Roma,2026-03-24 16:09:00,1.09,Express,174.99,134.8,41.54
Palermo,Roma,2026-03-05 14:38:00,6.42,Express,476.93,426.6,39.71
Reggio Calabria,Bari,2026-08-14 09:08:00,2.79,Express,422.17,350.6,46.95
Firenze,Roma,2026-07-26 11:12:00,6.75,Express,279.15,231.6,45.38
Pescara,Roma,2026-06-22 09:57:00,2.61,Premium,216.91,154.0,44.85
Milano,Cagliari,2026-09-25 16:08:00,2.73,Express,786.56,693.9,45.65
Trapani,Sassari,2026-01-28 19:05:00,1.28,Premium,541.05,455.8,47.21
Cagliari,Palermo,2026-04-16 10:34:00,5.11,Express,460.8,387.8,46.96
Bologna,Napoli,2026-06-14 19:31:00,1.63,Premium,549.21,470.2,48.66
Napoli,Roma,2026-01-20 12:42:00,2.13,Express,222.63,188.3,48.63
Palermo,Lecce,2026-09-24 08:09:00,3.0,Express,570.77,482.7,42.5
Reggio Calabria,Palermo,2026-06-06 11:30:00,3.27,Express,253.89,200.3,43.55
Milano,Genova,2026-03-26 19:14:00,0.91,Express,169.15,118.5,49.05
Trapani,Firenze,2026-03-07 18:19:00,2.55,Express,760.11,648.5,46.31
Napoli,Verona,2026-01-01 17:11:00,5.23,Express,675.88,575.5,49.44
Bologna,Sassari,2026-06-11 12:34:00,2.3,Premium,570.19,475.9,45.62
Bologna,Roma,2026-09-24 17:51:00,2.56,Express,351.04,302.9,42.43
Verona,Ancona,2026-01-10 16:56:00,3.36,Express,354.8,284.9,49.69
Bologna,Lecce,2026-04-24 18:05:00,2.75,Premium,866.18,725.0,45.53
Trapani,Verona,2026-06-30 14:48:00,1.46,Express,950.52,835.0,44.96
Firenze,Cagliari,2026-04-28 14:06:00,2.92,Express,624.35,536.1,48.02
Bari,Lecce,2026-06-27 20:32:00,6.02,Premium,183.12,139.0,45.54
Genova,Catania,2026-07-14 20:15:00,1.44,Premium,1050.5,924.7,48.32
Pescara,Roma,2026-09-21 14:30:00,2.31,Premium,191.52,154.0,44.86
Milano,Napoli,2026-06-14 09:48:00,1.14,Premium,763.68,657.4,49.42
Salerno,Perugia,2026-07-13 12:43:00,5.8,Express,401.77,334.4,49.47
Pescara,Trapani,2026-03-24 14:04:00,2.81,Express,595.1,513.6,47.03
Milano,Palermo,2026-02-11 16:28:00,1.65,Express,1022.84,886.0,44.07
Pescara,Roma,2026-01-28 11:27:00,3.2,Premium,199.96,154.0,44.83
Verona,Bari,2026-01-30 07:38:00,1.29,Premium,761.04,675.9,50.55
Milano,Catania,2026-08-14 18:30:00,1.46,Express,1169.68,1010.7,44.23
Cagliari,Trapani,2026-01-12 20:17:00,1.08,Express,367.27,325.7,48.91
Milano,Torino,2026-05-12 08:09:00,1.42,Express,163.59,125.1,49.73
Sassari,Reggio Calabria,2026-06-17 11:27:00,7.76,Express,780.17,674.8,49.01
Catania,Lecce,2026-07-03 13:04:00,1.8,Premium,488.88,413.1,47.66
Trapani,Cagliari,2026-01-19 17:38:00,4.16,Express,381.65,325.7,46.4
Perugia,Torino,2026-08-23 17:49:00,1.67,Express,502.2,433.9,48.02
Pescara,Salerno,2026-04-30 11:48:00,5.11,Premium,241.78,203.3,46.0
Genova,Catania,2026-01-05 11:22:00,1.46,Express,1051.84,924.7,47.86
Trapani,Perugia,2026-02-06 12:40:00,3.08,Express,661.48,566.1,51.19
Ancona,Pescara,2026-08-23 10:22:00,3.11,Express,161.72,140.6,45.94
Firenze,Napoli,2026-09-15 13:06:00,15.3,Express,503.02,408.7,50.75
Milano,Trapani,2026-07-25 10:40:00,4.66,Express,998.76,872.5,45.73
Napoli,Bologna,2026-04-02 07:50:00,1.98,Express,534.88,470.2,52.24
Napoli,Firenze,2026-09-16 16:59:00,4.85,Express,457.57,408.7,50.84
Bologna,Bari,2026-03-17 18:01:00,13.4,Express,688.75,586.2,46.22
Catania,Reggio Calabria,2026-03-05 11:00:00,0.96,Express,103.59,82.9,53.1
Bari,Pescara,2026-07-28 12:36:00,1.66,Express,329.6,266.1,43.78
Perugia,Verona,2026-03-30 12:38:00,2.54,Premium,338.99,282.0,42.87
Lecce,Palermo,2026-05-22 07:18:00,2.24,Express,545.63,482.7,43.36
Perugia,Cagliari,2026-06-30 14:38:00,2.38,Express,589.7,511.8,43.97
Perugia,Napoli,2026-02-15 13:25:00,1.2,Premium,337.12,295.4,47.72
Roma,Bari,2026-09-10 20:10:00,8.02,Express,448.76,374.0,46.27
Palermo,Reggio Calabria,2026-02-15 12:12:00,1.11,Express,227.49,200.3,48.44
Pescara,Reggio Calabria,2026-09-28 18:07:00,2.61,Premium,584.88,498.9,53.36
Perugia,Torino,2026-03-17 12:28:00,6.24,Express,511.28,433.9,47.84
Reggio Calabria,Genova,2026-04-24 09:35:00,2.94,Express,1046.85,897.2,48.52
Pescara,Genova,2026-03-11 11:52:00,1.51,Premium,578.55,478.2,50.7
Genova,Bari,2026-05-28 19:21:00,1.17,Express,845.8,743.8,51.1
Catania,Milano,2026-01-01 10:35:00,2.55,Express,1136.91,1010.7,48.37
Salerno,Napoli,2026-02-16 18:49:00,1.77,Express,87.1,46.2,48.14
Genova,Salerno,2026-05-22 16:18:00,3.46,Express,736.08,632.9,48.02
Palermo,Salerno,2026-07-09 17:25:00,1.12,Premium,358.77,309.4,41.64
Cagliari,Bologna,2026-09-20 17:32:00,5.3,Express,716.15,614.1,49.69
Milano,Firenze,2026-08-17 14:14:00,3.25,Express,292.43,248.8,45.47
Palermo,Torino,2026-09-09 15:25:00,3.43,Express,1007.17,904.7,46.34
Pescara,Genova,2026-08-07 07:58:00,8.23,Premium,553.28,478.2,50.42
Palermo,Ancona,2026-07-31 16:47:00,2.21,Express,693.33,611.7,43.81
Lecce,Sassari,2026-04-05 16:57:00,1.8,Express,919.36,812.8,45.24
Verona,Roma,2026-09-05 08:27:00,2.04,Express,495.83,411.9,45.82
Palermo,Ancona,2026-09-20 14:15:00,2.62,Express,700.16,611.7,43.79
Sassari,Genova,2026-05-21 14:07:00,2.81,Express,485.6,410.3,46.51
Roma,Sassari,2026-02-02 11:20:00,1.68,Premium,418.9,353.8,45.47
Perugia,Ancona,2026-01-12 07:55:00,0.73,Express,129.51,107.5,45.48
Torino,Milano,2026-05-15 07:08:00,2.03,Express,156.26,125.1,48.3
Bologna,Sassari,2026-06-23 09:55:00,3.86,Express,569.53,475.9,45.1
Trapani,Verona,2026-06-01 10:14:00,3.3,Express,959.04,835.0,44.88
Torino,Firenze,2026-09-02 09:58:00,6.95,Express,389.72,317.5,46.57
Palermo,Reggio Calabria,2026-05-27 15:28:00,11.79,Premium,253.99,200.3,48.45
Roma,Cagliari,2026-06-30 12:53:00,5.1,Express,485.5,412.6,44.64
Palermo,Bologna,2026-07-26 08:34:00,7.9,Premium,857.59,728.1,43.7
Firenze,Lecce,2026-09-02 08:10:00,5.13,Express,810.15,685.9,48.1
Salerno,Torino,2026-06-16 16:10:00,9.93,Express,863.24,755.2,48.58
Catania,Reggio Calabria,2026-06-02 20:05:00,10.96,Express,117.87,82.9,52.68
Genova,Napoli,2026-01-22 18:28:00,5.84,Express,699.1,589.3,52.4
Palermo,Firenze,2026-06-25 17:36:00,4.92,Express,756.53,652.7,42.09
Sassari,Bologna,2026-02-19 11:27:00,2.6,Premium,551.19,475.9,44.77
Lecce,Firenze,2026-04-11 16:51:00,2.91,Premium,799.03,685.9,45.26
Napoli,Cagliari,2026-05-26 08:08:00,2.37,Premium,551.89,474.3,51.56
Ancona,Cagliari,2026-01-23 09:23:00,4.63,Premium,741.77,611.3,47.65
Bologna,Reggio Calabria,2026-07-09 08:57:00,1.81,Express,908.21,795.3,50.98
Bari,Bologna,2026-03-18 09:34:00,2.62,Express,691.96,586.2,46.18
Bari,Ancona,2026-05-21 12:00:00,0.58,Express,450.35,391.1,46.59
Torino,Palermo,2026-04-06 07:36:00,10.02,Premium,1046.01,904.7,45.43
Sassari,Firenze,2026-04-08 18:23:00,2.57,Express,478.15,404.0,43.04
